node_name,MCC,DMNC,MNC,Degree,EPC,BottleNeck,EcCentricity,Closeness,Radiality,Betweenness,Stress,ClusteringCoefficient
USP36,1.0,0.0,1.0,1.0,1.058,1.0,0.2,50.9,2.59524,0.0,0.0,0.0,
WDR6,1.0,0.0,1.0,1.0,1.857,1.0,0.2,60.61667,3.10714,0.0,0.0,0.0,
ZMPSTE24,1.0,0.0,1.0,1.0,2.132,1.0,0.2,63.61667,3.2381,0.0,0.0,0.0,
SRPX,1.0,0.0,1.0,1.0,1.389,1.0,0.2,56.18333,2.8869,0.0,0.0,0.0,
TBC1D14,2.0,0.30779,2.0,2.0,1.41,1.0,0.2,55.28333,2.80357,0.0,0.0,1.0,
VPS51,4.0,0.30898,3.0,3.0,2.159,1.0,0.2,57.95,2.92262,0.9306,16.0,0.66667,
PLEKHF1,2.0,0.30779,2.0,2.0,3.033,1.0,0.25,70.91667,3.52381,0.0,0.0,1.0,
VPS41,2.0,0.30779,2.0,2.0,2.38,1.0,0.2,66.86667,3.3631,0.0,0.0,1.0,
SNX5,7.0,0.46346,3.0,4.0,1.642,1.0,0.2,59.2,3.0,5.00444,24.0,0.5,
MTMR4,13.0,0.47366,4.0,5.0,3.453,1.0,0.25,69.91667,3.45238,12.26665,62.0,0.5,
RNF41,4.0,0.30779,2.0,4.0,2.563,2.0,0.25,62.91667,3.19048,341.41713,2722.0,0.16667,
MTCL1,1.0,0.0,1.0,1.0,1.144,1.0,0.2,45.5,2.19643,0.0,0.0,0.0,
MAP1S,3.0,0.30779,2.0,3.0,3.927,1.0,0.25,68.91667,3.44048,0.95728,20.0,0.33333,
SH3BP4,7.0,0.46346,3.0,4.0,2.356,1.0,0.2,61.06667,3.07738,3.07143,10.0,0.5,
TPCN2,5.0,0.30779,2.0,5.0,4.097,2.0,0.25,72.16667,3.52976,31.06739,398.0,0.1,
PMP22,1.0,0.0,1.0,1.0,1.313,1.0,0.2,51.86667,2.64286,0.0,0.0,0.0,
ZKSCAN3,2.0,0.0,1.0,2.0,2.168,1.0,0.25,62.41667,3.19048,2.16661,28.0,0.0,
PTPN22,6.0,0.46346,3.0,3.0,4.123,1.0,0.25,71.91667,3.54762,0.0,0.0,1.0,
TRIM14,2.0,0.30779,2.0,2.0,3.009,1.0,0.25,67.08333,3.375,0.0,0.0,1.0,
TRIM22,1.0,0.0,1.0,1.0,1.285,1.0,0.2,50.6,2.56548,0.0,0.0,0.0,
TOMM70A,60.0,0.57059,6.0,6.0,5.181,1.0,0.25,72.83333,3.54167,2.67047,32.0,0.8,
TOMM22,48.0,0.58344,5.0,5.0,5.02,1.0,0.25,71.25,3.49405,0.16233,6.0,0.9,
PRKD1,12.0,0.47366,4.0,4.0,4.721,1.0,0.25,73.25,3.58333,0.07407,2.0,0.83333,
HAP1,2.0,0.0,1.0,2.0,2.496,1.0,0.25,64.41667,3.26786,0.22222,2.0,0.0,
VPS26A,40.0,0.33919,10.0,10.0,3.938,2.0,0.25,75.08333,3.57738,101.22804,826.0,0.37778,
RGS19,1.0,0.0,1.0,1.0,1.236,1.0,0.2,51.36667,2.61905,0.0,0.0,0.0,
MT3,1.0,0.0,1.0,1.0,1.558,1.0,0.2,56.3,2.89881,0.0,0.0,0.0,
