#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AGER	TP53	9606.ENSP00000364210	9606.ENSP00000269305	0	0	0	0	0	0	0	0.438	0.438
AGER	CASP3	9606.ENSP00000364210	9606.ENSP00000311032	0	0	0	0	0	0	0	0.456	0.456
AGER	CLU	9606.ENSP00000364210	9606.ENSP00000315130	0	0	0	0	0	0	0	0.501	0.501
AGER	HMGB1	9606.ENSP00000364210	9606.ENSP00000345347	0	0	0	0	0	0.707	0.900	0.989	0.999
AGER	S100A9	9606.ENSP00000364210	9606.ENSP00000357727	0	0	0	0	0.069	0	0	0.509	0.523
AGER	CASP1	9606.ENSP00000364210	9606.ENSP00000433138	0	0	0	0	0.070	0	0	0.458	0.474
AGER	AKT1	9606.ENSP00000364210	9606.ENSP00000451828	0	0	0	0	0.065	0.057	0	0.466	0.488
AGER	IL10	9606.ENSP00000364210	9606.ENSP00000412237	0	0	0	0	0	0	0	0.504	0.504
AKT1	ITGB4	9606.ENSP00000451828	9606.ENSP00000200181	0	0	0	0	0.066	0.070	0.900	0.427	0.943
AKT1	SIRT1	9606.ENSP00000451828	9606.ENSP00000212015	0	0	0	0	0.063	0.281	0	0.852	0.891
AKT1	XBP1	9606.ENSP00000451828	9606.ENSP00000216037	0	0	0	0	0	0.058	0	0.628	0.635
AKT1	HMOX1	9606.ENSP00000451828	9606.ENSP00000216117	0	0	0	0	0	0.230	0	0.749	0.799
AKT1	TRIB3	9606.ENSP00000451828	9606.ENSP00000217233	0	0	0	0.585	0.062	0.539	0.800	0.975	0.944
AKT1	CSNK2A1	9606.ENSP00000451828	9606.ENSP00000217244	0	0	0.223	0.581	0.056	0.289	0	0.420	0.463
AKT1	TSC2	9606.ENSP00000451828	9606.ENSP00000219476	0	0	0	0	0.062	0.516	0.900	0.940	0.996
AKT1	STUB1	9606.ENSP00000451828	9606.ENSP00000219548	0	0	0	0	0.077	0.519	0	0.633	0.823
AKT1	HGF	9606.ENSP00000451828	9606.ENSP00000222390	0	0	0	0	0.062	0.056	0	0.747	0.757
AKT1	NAMPT	9606.ENSP00000451828	9606.ENSP00000222553	0.042	0	0	0	0	0	0	0.477	0.478
AKT1	GAPDH	9606.ENSP00000451828	9606.ENSP00000229239	0	0	0	0	0.046	0.349	0	0.871	0.913
AKT1	PRKAB1	9606.ENSP00000451828	9606.ENSP00000229328	0	0	0	0	0	0.114	0	0.426	0.470
AKT1	HSPB1	9606.ENSP00000451828	9606.ENSP00000248553	0	0	0	0	0	0.760	0	0.982	0.995
AKT1	SIRT2	9606.ENSP00000451828	9606.ENSP00000249396	0	0	0	0	0.063	0	0	0.687	0.695
AKT1	TSG101	9606.ENSP00000451828	9606.ENSP00000251968	0	0	0	0	0.061	0	0	0.415	0.427
AKT1	SESN2	9606.ENSP00000451828	9606.ENSP00000253063	0	0	0	0	0	0.123	0	0.496	0.539
AKT1	PIK3C3	9606.ENSP00000451828	9606.ENSP00000262039	0	0	0	0	0.064	0.104	0	0.744	0.767
AKT1	EP300	9606.ENSP00000451828	9606.ENSP00000263253	0	0	0	0	0	0.885	0.900	0.903	0.998
AKT1	KDR	9606.ENSP00000451828	9606.ENSP00000263923	0	0	0	0.555	0	0.122	0	0.823	0.441
AKT1	PIK3CA	9606.ENSP00000451828	9606.ENSP00000263967	0	0	0	0	0.064	0.880	0.900	0.903	0.998
AKT1	STAT3	9606.ENSP00000451828	9606.ENSP00000264657	0	0	0	0	0	0.140	0.900	0.875	0.988
AKT1	PIK3C2A	9606.ENSP00000451828	9606.ENSP00000265970	0	0	0	0	0.062	0.104	0	0.441	0.489
AKT1	GABARAPL1	9606.ENSP00000451828	9606.ENSP00000266458	0	0	0	0	0	0.103	0	0.544	0.574
AKT1	MAP1LC3B	9606.ENSP00000451828	9606.ENSP00000268607	0	0	0	0	0	0.103	0	0.709	0.728
AKT1	TP53	9606.ENSP00000451828	9606.ENSP00000269305	0	0	0	0	0.053	0.201	0.900	0.877	0.989
AKT1	ATM	9606.ENSP00000451828	9606.ENSP00000278616	0	0	0	0	0	0.056	0	0.741	0.745
AKT1	LAMTOR1	9606.ENSP00000451828	9606.ENSP00000278671	0	0	0	0	0.048	0	0.900	0.260	0.923
AKT1	ATG3	9606.ENSP00000451828	9606.ENSP00000283290	0	0	0	0	0	0.092	0	0.553	0.577
AKT1	ITPR1	9606.ENSP00000451828	9606.ENSP00000306253	0	0	0	0	0	0.493	0	0.818	0.904
AKT1	CASP3	9606.ENSP00000451828	9606.ENSP00000311032	0	0	0	0	0	0.475	0	0.882	0.935
AKT1	LEP	9606.ENSP00000451828	9606.ENSP00000312652	0	0	0	0	0	0	0	0.739	0.739
AKT1	CLU	9606.ENSP00000451828	9606.ENSP00000315130	0	0	0	0	0	0	0	0.422	0.422
AKT1	CDK5R1	9606.ENSP00000451828	9606.ENSP00000318486	0	0	0	0	0	0.057	0	0.450	0.459
AKT1	GSK3B	9606.ENSP00000451828	9606.ENSP00000324806	0	0	0.218	0.576	0.049	0.934	0.900	0.873	0.996
AKT1	STK11	9606.ENSP00000451828	9606.ENSP00000324856	0	0	0.325	0.631	0.104	0.298	0	0.807	0.588
AKT1	LEPR	9606.ENSP00000451828	9606.ENSP00000330393	0	0	0	0	0	0.056	0	0.571	0.578
AKT1	HDAC6	9606.ENSP00000451828	9606.ENSP00000334061	0	0	0	0	0	0.345	0	0.567	0.704
AKT1	HSP90AA1	9606.ENSP00000451828	9606.ENSP00000335153	0	0	0	0	0.062	0.946	0.900	0.991	0.999
AKT1	MTDH	9606.ENSP00000451828	9606.ENSP00000338235	0	0	0	0	0	0	0	0.610	0.610
AKT1	EEF1A1	9606.ENSP00000451828	9606.ENSP00000339063	0	0	0	0	0	0	0	0.494	0.495
AKT1	MAPT	9606.ENSP00000451828	9606.ENSP00000340820	0	0	0	0	0	0.709	0	0.532	0.858
AKT1	PTK2	9606.ENSP00000451828	9606.ENSP00000341189	0	0	0	0.568	0.082	0.301	0	0.833	0.569
AKT1	HMGB1	9606.ENSP00000451828	9606.ENSP00000345347	0	0	0	0	0.065	0.058	0	0.531	0.550
AKT1	ATG7	9606.ENSP00000451828	9606.ENSP00000346437	0	0	0	0	0.045	0.059	0	0.717	0.723
AKT1	TFEB	9606.ENSP00000451828	9606.ENSP00000351742	0	0	0	0	0.062	0.057	0	0.504	0.523
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0	0	0	0.081	0.904	0.900	0.991	0.999
AKT1	BECN1	9606.ENSP00000451828	9606.ENSP00000355231	0	0	0	0	0	0.690	0	0.928	0.977
AKT1	PIK3C2B	9606.ENSP00000451828	9606.ENSP00000356155	0	0	0	0	0.062	0.104	0	0.422	0.472
AKT1	MCL1	9606.ENSP00000451828	9606.ENSP00000358022	0	0	0	0	0	0	0.900	0.762	0.975
AKT1	ATG5	9606.ENSP00000451828	9606.ENSP00000358072	0	0	0	0	0.048	0.057	0	0.738	0.744
AKT1	RRAGD	9606.ENSP00000451828	9606.ENSP00000358423	0	0	0	0	0.062	0	0.900	0.362	0.934
AKT1	GNAI3	9606.ENSP00000451828	9606.ENSP00000358867	0	0	0	0	0	0.159	0.900	0.168	0.923
